"Interval_length","group"
8.03507148749004,"CSA-M"
9.20844711243149,"CSA-M"
8.31417992109272,"CSA-M"
10.0385816694113,"CSA-M"
8.75980757004181,"CSA-M"
10.3484673691063,"CSA-M"
8.33808281142391,"CSA-M"
9.15342962421995,"CSA-M"
10.213283218181,"CSA-M"
6.66182252071958,"CSA-M"
10.5800374326058,"CSA-M"
9.53803712355969,"CSA-M"
9.96838591310921,"CSA-M"
7.30010785379931,"CSA-M"
9.64673427649908,"CSA-M"
8.49824691412002,"CSA-M"
8.62229953339476,"CSA-M"
7.65757437643017,"CSA-M"
10.8100544184843,"CSA-M"
10.6840038382584,"CSA-M"
8.36545870153589,"CSA-M"
8.90123673002446,"CSA-M"
8.44892051723005,"CSA-M"
9.22257843920928,"CSA-M"
7.30370263368993,"CSA-M"
7.97295070057324,"CSA-M"
10.2978837147536,"CSA-M"
7.31587157941856,"CSA-M"
7.67562086796247,"CSA-M"
9.36540991640747,"CSA-M"
8.40185552629078,"CSA-M"
8.63834370606864,"CSA-M"
8.00781440775248,"CSA-M"
7.40995771509682,"CSA-M"
10.8447769816814,"CSA-M"
9.23320666848375,"CSA-M"
7.74380089841716,"CSA-M"
9.17471606865446,"CSA-M"
6.94971024403487,"CSA-M"
9.09346853578299,"CSA-M"
11.2734219812167,"CSA-M"
7.33497952803779,"CSA-M"
9.79000919032864,"CSA-M"
8.20136207145309,"CSA-M"
8.12963742602363,"CSA-M"
7.91557234485805,"CSA-M"
7.39415553180713,"CSA-M"
7.69764058999975,"CSA-M"
10.2281530839049,"CSA-M"
6.99129570127346,"CSA-M"
11.3184996129961,"CSA-Q"
10.3895175950205,"CSA-Q"
11.0877079966162,"CSA-Q"
11.008557528543,"CSA-Q"
10.9076478585252,"CSA-Q"
9.78292077224326,"CSA-Q"
11.5135051564777,"CSA-Q"
10.5276324699943,"CSA-Q"
10.2064379496725,"CSA-Q"
10.6615484674592,"CSA-Q"
9.92720830855111,"CSA-Q"
9.90999844127446,"CSA-Q"
9.57379002546904,"CSA-Q"
9.65461674942408,"CSA-Q"
11.9660800863108,"CSA-Q"
10.9308030372457,"CSA-Q"
11.5334740594452,"CSA-Q"
10.872491241084,"CSA-Q"
10.6639119676953,"CSA-Q"
10.8637876498851,"CSA-Q"
9.81772545125996,"CSA-Q"
10.7155348186954,"CSA-Q"
12.0386443715722,"CSA-Q"
10.6856968823094,"CSA-Q"
11.6051470854571,"CSA-Q"
12.9764887276037,"CSA-Q"
9.60699677409165,"CSA-Q"
10.8348676595069,"CSA-Q"
10.5587945745892,"CSA-Q"
11.5907517905544,"CSA-Q"
12.5192621475996,"CSA-Q"
10.8298672648815,"CSA-Q"
10.2573849829567,"CSA-Q"
12.0712769975371,"CSA-Q"
10.5347971396421,"CSA-Q"
10.4471345068241,"CSA-Q"
10.4275491119445,"CSA-Q"
11.8015308355219,"CSA-Q"
10.9633330013421,"CSA-Q"
12.61631972814,"CSA-Q"
11.0675382404213,"CSA-Q"
11.9296550780923,"CSA-Q"
11.5295474489007,"CSA-Q"
10.0653136279446,"CSA-Q"
10.1855547844771,"CSA-Q"
12.0807772386572,"CSA-Q"
9.93203606546022,"CSA-Q"
13.2963003724899,"CSA-Q"
12.6430407544133,"CSA-Q"
10.4535475429705,"CSA-Q"
8.32030390197539,"ITE-NUC"
7.3981551314335,"ITE-NUC"
7.5893532675369,"ITE-NUC"
8.03469013896608,"ITE-NUC"
6.58300027700335,"ITE-NUC"
7.99044855929905,"ITE-NUC"
7.79016080435857,"ITE-NUC"
8.6677193037351,"ITE-NUC"
7.94950234052892,"ITE-NUC"
8.2462198102506,"ITE-NUC"
7.76855805638068,"ITE-NUC"
8.37498862201334,"ITE-NUC"
8.51004122518679,"ITE-NUC"
7.2850136386024,"ITE-NUC"
7.05960505951319,"ITE-NUC"
8.12167924712361,"ITE-NUC"
7.38177120921276,"ITE-NUC"
8.11667830785452,"ITE-NUC"
7.98330528111132,"ITE-NUC"
7.10538953685738,"ITE-NUC"
6.81464653974216,"ITE-NUC"
7.74612001920172,"ITE-NUC"
9.20449276608163,"ITE-NUC"
7.42941210566069,"ITE-NUC"
7.97924786772001,"ITE-NUC"
8.81323736984406,"ITE-NUC"
7.35566386099958,"ITE-NUC"
8.20505199907095,"ITE-NUC"
8.58218588759005,"ITE-NUC"
9.21376984585176,"ITE-NUC"
8.44441082121611,"ITE-NUC"
7.98271756777145,"ITE-NUC"
7.45716587272589,"ITE-NUC"
7.56832544639589,"ITE-NUC"
7.69379584858934,"ITE-NUC"
7.24036629419309,"ITE-NUC"
7.48180109042461,"ITE-NUC"
7.78034723955462,"ITE-NUC"
6.66303882011273,"ITE-NUC"
7.80339471205935,"ITE-NUC"
8.22440461053515,"ITE-NUC"
7.7537580100174,"ITE-NUC"
8.3640936918512,"ITE-NUC"
7.95792847902681,"ITE-NUC"
7.45301257750909,"ITE-NUC"
7.98013995393871,"ITE-NUC"
8.24974941032076,"ITE-NUC"
7.50520847416283,"ITE-NUC"
8.52026965405243,"ITE-NUC"
7.86468998274758,"ITE-NUC"
14.7421851024925,"CSA-B"
16.8193516817353,"CSA-B"
12.9389708502345,"CSA-B"
14.178045620128,"CSA-B"
14.0700707741858,"CSA-B"
14.1518882412561,"CSA-B"
14.8900614528502,"CSA-B"
14.3083539282421,"CSA-B"
14.1537929540158,"CSA-B"
14.9284544384775,"CSA-B"
16.4515477372153,"CSA-B"
14.8125146022392,"CSA-B"
13.3745183341517,"CSA-B"
13.2777679763394,"CSA-B"
15.1772522033535,"CSA-B"
15.1962973308177,"CSA-B"
16.9086713751419,"CSA-B"
13.6470698499918,"CSA-B"
13.1265811408451,"CSA-B"
13.4548147705265,"CSA-B"
14.3186995992364,"CSA-B"
15.5691274252111,"CSA-B"
13.7107475736166,"CSA-B"
16.172694834812,"CSA-B"
16.6391766695785,"CSA-B"
15.313508304395,"CSA-B"
13.768381687024,"CSA-B"
13.2266568974183,"CSA-B"
11.93742565808,"CSA-B"
14.9961510849075,"CSA-B"
14.3361037303943,"CSA-B"
14.6970610623338,"CSA-B"
12.0520849842847,"CSA-B"
13.641017277995,"CSA-B"
15.3321011528244,"CSA-B"
13.783831080559,"CSA-B"
15.1523809496943,"CSA-B"
15.8282583136299,"CSA-B"
15.953582353708,"CSA-B"
15.7310296674045,"CSA-B"
13.209909512916,"CSA-B"
14.490920801198,"CSA-B"
16.2202480578601,"CSA-B"
17.1515913407208,"CSA-B"
10.4899562562676,"CSA-B"
16.6230970983132,"CSA-B"
13.8617905694974,"CSA-B"
16.9234463995382,"CSA-B"
15.7710100773399,"CSA-B"
16.8362749562216,"CSA-B"
