"Coverage","group"
0.931,"CSA-huber"
0.9674,"CSA-huber"
0.9834,"CSA-huber"
0.9572,"CSA-huber"
0.9904,"CSA-huber"
0.9908,"CSA-huber"
0.9936,"CSA-huber"
0.9892,"CSA-huber"
0.9688,"CSA-huber"
0.991,"CSA-huber"
0.9844,"CSA-huber"
0.9658,"CSA-huber"
0.9298,"CSA-huber"
0.9382,"CSA-huber"
0.9412,"CSA-huber"
0.988,"CSA-huber"
0.9184,"CSA-huber"
0.9222,"CSA-huber"
0.9436,"CSA-huber"
0.965,"CSA-huber"
0.9888,"CSA-huber"
0.9148,"CSA-huber"
0.9774,"CSA-huber"
0.9828,"CSA-huber"
0.989,"CSA-huber"
0.9494,"CSA-huber"
0.9414,"CSA-huber"
0.9762,"CSA-huber"
0.9754,"CSA-huber"
0.97,"CSA-huber"
0.9344,"CSA-M"
0.9556,"CSA-M"
0.9492,"CSA-M"
0.9438,"CSA-M"
0.9406,"CSA-M"
0.9278,"CSA-M"
0.9302,"CSA-M"
0.938,"CSA-M"
0.9594,"CSA-M"
0.9422,"CSA-M"
0.9674,"CSA-M"
0.9322,"CSA-M"
0.9556,"CSA-M"
0.9588,"CSA-M"
0.9576,"CSA-M"
0.966,"CSA-M"
0.9684,"CSA-M"
0.9474,"CSA-M"
0.9504,"CSA-M"
0.9366,"CSA-M"
0.9644,"CSA-M"
0.9552,"CSA-M"
0.9574,"CSA-M"
0.9488,"CSA-M"
0.9368,"CSA-M"
0.9434,"CSA-M"
0.9474,"CSA-M"
0.9278,"CSA-M"
0.9568,"CSA-M"
0.9238,"CSA-M"
0.9444,"CSA-Q"
0.96,"CSA-Q"
0.9682,"CSA-Q"
0.9694,"CSA-Q"
0.9566,"CSA-Q"
0.9596,"CSA-Q"
0.9518,"CSA-Q"
0.9566,"CSA-Q"
0.9304,"CSA-Q"
0.9526,"CSA-Q"
0.969,"CSA-Q"
0.9556,"CSA-Q"
0.9642,"CSA-Q"
0.9468,"CSA-Q"
0.9356,"CSA-Q"
0.9726,"CSA-Q"
0.9678,"CSA-Q"
0.952,"CSA-Q"
0.9414,"CSA-Q"
0.964,"CSA-Q"
0.9598,"CSA-Q"
0.9612,"CSA-Q"
0.9372,"CSA-Q"
0.9578,"CSA-Q"
0.966,"CSA-Q"
0.9568,"CSA-Q"
0.9148,"CSA-Q"
0.945,"CSA-Q"
0.929,"CSA-Q"
0.9728,"CSA-Q"
0.8364,"ITE-NUC"
0.8704,"ITE-NUC"
0.8258,"ITE-NUC"
0.8602,"ITE-NUC"
0.8316,"ITE-NUC"
0.8564,"ITE-NUC"
0.807,"ITE-NUC"
0.846,"ITE-NUC"
0.8546,"ITE-NUC"
0.8444,"ITE-NUC"
0.8278,"ITE-NUC"
0.868,"ITE-NUC"
0.8164,"ITE-NUC"
0.8786,"ITE-NUC"
0.846,"ITE-NUC"
0.8504,"ITE-NUC"
0.8934,"ITE-NUC"
0.8176,"ITE-NUC"
0.8274,"ITE-NUC"
0.8394,"ITE-NUC"
0.837,"ITE-NUC"
0.8728,"ITE-NUC"
0.8462,"ITE-NUC"
0.8784,"ITE-NUC"
0.799,"ITE-NUC"
0.8712,"ITE-NUC"
0.7908,"ITE-NUC"
0.8108,"ITE-NUC"
0.8366,"ITE-NUC"
0.8312,"ITE-NUC"
0.9976,"CSA-B"
0.998,"CSA-B"
0.9972,"CSA-B"
0.9982,"CSA-B"
0.998,"CSA-B"
0.997,"CSA-B"
0.9984,"CSA-B"
0.9992,"CSA-B"
0.9992,"CSA-B"
0.9958,"CSA-B"
0.9984,"CSA-B"
0.9976,"CSA-B"
0.9982,"CSA-B"
0.9986,"CSA-B"
0.9978,"CSA-B"
0.9982,"CSA-B"
0.9986,"CSA-B"
0.9996,"CSA-B"
0.9986,"CSA-B"
0.9976,"CSA-B"
0.998,"CSA-B"
0.9952,"CSA-B"
0.9974,"CSA-B"
0.9968,"CSA-B"
0.9962,"CSA-B"
0.9978,"CSA-B"
0.9952,"CSA-B"
0.9972,"CSA-B"
0.9982,"CSA-B"
0.9972,"CSA-B"
