"X1","X2","X3","X1.1","X2.1","X3.1","X1.2","X2.2","X3.2","X1.3","X2.3","X3.3"
0.8054,18.7275611470993,0,0.8922,20.7341254389297,0,0.7663,17.6930445141202,0,0.9759,25.7260081840522,0
0.8391,19.5358877633665,0,0.8794,20.4565959639167,0,0.778,17.9792351803188,0,0.9776,25.9015799946181,0
0.9438,22.6369601075114,0,0.8984,20.9767821286662,0,0.7746,17.9826453106479,0,0.9805,26.6091773647266,0
0.8614,19.8739912691798,0,0.9346,21.8795178529032,0,0.7119,16.6270055990749,0,0.9944,29.3300445115097,0
0.9703,23.7961700210929,0,0.8839,20.4742739318015,0,0.7919,18.2558972468821,0,0.9764,26.5007935248973,0
0.9437,22.5306375439354,0,0.8902,20.3143720307303,0,0.6996,16.3828812464443,0,0.987,27.0564275000788,0
0.9056,21.6589162036673,0,0.8589,19.8274926898919,0,0.7353,17.323051797475,0,0.985,27.6094656711544,0
0.9587,23.1365173147295,0,0.8663,20.0333683104354,0,0.7605,17.6402323941428,0,0.9948,29.439031975355,0
0.916,21.3196200651142,0,0.8848,20.4036514009215,0,0.7732,17.9395440403939,0,0.994,28.8765870777263,0
0.8981,21.1074378580911,0,0.8178,18.6795190675994,0,0.6935,16.3020946414694,0,0.9899,28.4789729978026,0
0.8856,20.3632458166916,0,0.9172,21.1326968365318,0,0.7797,17.9072991850156,0,0.9607,24.7123070320356,0
0.9139,21.3893213923608,0,0.9098,21.2622589482612,0,0.8193,18.885123344538,0,0.9892,27.6611071964923,0
0.9683,23.9434465089557,0,0.8672,19.9552184557828,0,0.8171,18.6940747021846,0,0.9913,28.0391704607053,0
0.8997,21.0210824464531,0,0.8992,20.7504581984537,0,0.701,16.1770202818092,0,0.9855,27.3751676022538,0
0.901,20.8849868887156,0,0.9451,22.2826348557126,0,0.7814,17.8540953905587,0,0.9847,27.5698777157753,1
0.8307,19.2084883906701,0,0.8635,19.9462274060343,0,0.7481,17.3861203884059,0,0.9883,27.7702405180775,0
0.8391,19.3826337437907,0,0.8431,19.4047079720346,0,0.7554,17.3891047739442,0,0.9914,27.6000741845591,0
0.9261,21.8192908738207,0,0.8867,20.3166913004903,0,0.7387,16.9003933277552,0,0.9871,27.3988907196445,0
0.8837,20.4975114474099,0,0.9001,20.911161156484,0,0.8164,18.8249214265962,0,0.991,28.162618346898,6
0.8816,20.6616275416291,0,0.9104,21.2863273532877,0,0.7876,18.1916917566937,0,0.987,27.8665675049627,0
0.8357,19.252451752503,0,0.9314,21.8289108653974,0,0.7833,17.8029957602182,0,0.9824,26.4834643062253,0
0.9329,22.0774783817758,0,0.8803,20.314339148319,0,0.7167,16.8008640316074,0,0.9868,27.1042010611104,0
0.8405,19.3526836246237,0,0.8866,20.3253799640799,0,0.7313,17.0301587446745,0,0.9928,27.8351064117024,0
0.8663,20.1598732762855,0,0.8094,18.5621566560632,0,0.6931,16.3746275331773,0,0.9848,26.3042873471904,0
0.8863,20.5724863795114,0,0.8783,20.3079630482713,0,0.7583,17.5858659884476,0,0.987,27.3119183173906,0
0.9268,21.7401085222098,0,0.8979,20.6784292131954,0,0.7426,17.188841230073,0,0.9848,26.7455084637114,0
0.9571,23.6189664822764,0,0.8898,20.7978187501509,0,0.7785,18.0826242331015,0,0.9856,27.5242315558293,0
0.896,20.6761557592862,0,0.905,20.9252650561921,0,0.7188,16.7392823415221,0,0.9877,27.5291749207582,0
0.9,20.9346888036116,0,0.8528,19.5194028462066,0,0.7883,17.9949554179389,0,0.9827,26.6054359903984,0
0.9259,21.7743418014972,0,0.8844,20.362417892299,0,0.7671,17.6228746526917,0,0.9827,26.7272702678013,0
0.9659,23.9748000331856,0,0.8708,20.1088804799526,0,0.6945,16.3425680520278,0,0.9933,28.6277813004587,0
0.8789,20.407131445723,0,0.8713,20.0878695248641,0,0.7202,17.0578967506161,0,0.9879,27.4416585909514,0
0.9236,21.7040186137481,0,0.8141,18.821458870317,0,0.7607,17.6490097234265,0,0.9847,27.4508885387298,0
0.8942,20.9333423421914,0,0.8495,19.5731728490277,0,0.7695,17.9048619971885,0,0.985,27.3465465132904,1
0.9237,21.8728799185401,0,0.8366,19.3765221896109,0,0.7092,16.6871824575008,0,0.9819,26.9567655066936,0
0.8964,21.0777265162242,0,0.8061,18.774229637531,0,0.8262,19.2054305602554,0,0.9788,27.0717175158551,0
0.9029,21.1676421859987,0,0.8741,20.0183231314589,0,0.7567,17.5248914104711,0,0.987,26.917979460055,0
0.9114,21.3672100049188,0,0.8469,19.5846377293364,0,0.7711,17.84461246644,0,0.9787,26.1324452856096,0
