"X1","X2","X3","X1.1","X2.1","X3.1","X1.2","X2.2","X3.2","X1.3","X2.3","X3.3"
0.9409,9.16077344757858,0,0.9181,12.0030462884939,0,0.7947,8.86765911766428,0,0.9961,17.8107115434083,0
0.9712,12.1985319009157,0,0.9195,11.8615857338982,0,0.7884,9.56947995599716,0,0.9933,16.124567388449,0
0.9303,8.64090850286035,0,0.9592,12.5364271979908,0,0.8027,9.00883004090076,0,0.993,15.6539198162846,0
0.981,12.3475352622605,0,0.9687,14.6187823785727,0,0.7721,8.55996652350251,0,0.9877,14.055026521323,0
0.9228,8.24801484543335,0,0.944,13.0482811288769,0,0.8051,9.21102769569052,0,0.9839,13.1633171340131,3
0.9864,14.0195198915981,0,0.932,11.5921619180708,0,0.8183,8.24546942973157,0,0.9882,15.0176249118286,0
0.9515,9.61890429290073,0,0.9587,12.2756376795024,0,0.7958,8.31951054779261,0,0.9906,15.0345995576037,2
0.9379,8.97233907607857,0,0.9846,15.0896648509774,0,0.8948,10.4206260030296,0,0.995,17.5078572334856,1
0.9643,10.7689511390757,0,0.9598,12.2562589565671,0,0.7648,8.65540545669771,0,0.9954,18.1179289037727,1
0.9526,9.62948463789914,0,0.9405,12.3737481786887,0,0.7682,9.09146956220061,0,0.9924,15.918818171459,0
0.952,9.37285374438819,0,0.9187,10.6284213170583,0,0.8601,8.84449451986135,0,0.9892,13.7281626004255,0
0.9711,11.1741151900847,0,0.9497,12.7918662168802,0,0.8182,9.70181542097002,0,0.9947,17.9327184070113,0
0.9414,9.80632601205786,0,0.9561,13.3405418938365,0,0.8265,9.88498333639343,0,0.9784,12.3312438770865,0
0.9433,9.31846908433167,0,0.9006,10.1283203393802,0,0.7904,9.35134699964188,0,0.9965,20.472131878202,0
0.9494,10.3596531556713,0,0.9397,12.1323309256225,0,0.7506,8.28321241135981,0,0.9916,15.6755765590176,0
0.9544,9.71514617729427,0,0.9389,11.7216147332699,0,0.7895,8.54857442778983,0,0.994,17.6771670243688,0
0.9212,8.39962253424213,0,0.929,11.7580061639211,0,0.8471,9.34534122445805,0,0.9807,12.6675195932022,0
0.9551,9.70011684304597,0,0.9581,12.0503542910405,0,0.8457,9.50390673251584,0,0.9914,15.3724066991193,0
0.979,11.7269571967546,0,0.9034,11.3323950613903,0,0.814,8.37119625805978,0,0.9932,16.3418784295088,0
0.9721,11.202753346238,0,0.9546,12.6705750231393,0,0.8041,8.94103759684339,0,0.9887,13.8380468538275,0
0.9082,7.78671779825917,0,0.9415,11.6433220068136,0,0.841,8.26050375707046,0,0.9903,15.1609225771477,0
0.9647,10.5096470553629,0,0.9699,13.876527134361,0,0.7825,8.41940181027591,0,0.9922,15.9544798110035,0
0.9297,8.83820927864158,0,0.9571,12.2634819571481,0,0.81,8.50067420092457,0,0.9954,18.6178938841132,0
0.8896,7.86677693115766,0,0.9669,13.441360664788,0,0.8092,9.50952774917289,0,0.9852,13.1278394353674,0
