"Interval_length","group"
15.8370977163666,"CSA-huber"
10.8044362937313,"CSA-huber"
11.7316517593831,"CSA-huber"
11.8908129366645,"CSA-huber"
10.0216837862077,"CSA-huber"
9.82872070044499,"CSA-huber"
14.7300751989329,"CSA-huber"
12.7362698361367,"CSA-huber"
15.2192309903277,"CSA-huber"
16.7167247376565,"CSA-huber"
12.7564465619996,"CSA-huber"
14.0850124978102,"CSA-huber"
12.8468441353741,"CSA-huber"
8.00202706411887,"CSA-huber"
17.5607650292551,"CSA-huber"
13.8216525113249,"CSA-huber"
18.5229378750122,"CSA-huber"
10.377720751604,"CSA-huber"
17.4934806187118,"CSA-huber"
14.6297494726048,"CSA-huber"
13.7884203607625,"CSA-huber"
9.4719755050376,"CSA-huber"
11.6901516106886,"CSA-huber"
13.7853876874907,"CSA-huber"
12.7389387488521,"CSA-huber"
18.6668006540029,"CSA-huber"
13.5587086419466,"CSA-huber"
16.9062018862694,"CSA-huber"
13.1343214473723,"CSA-huber"
12.9906122555996,"CSA-huber"
7.26806465049807,"CSA-M"
6.87742626816007,"CSA-M"
6.65652728413996,"CSA-M"
5.8576057493857,"CSA-M"
5.80596729141423,"CSA-M"
6.72212346825056,"CSA-M"
5.61615218399899,"CSA-M"
5.8694658816957,"CSA-M"
6.86735783646022,"CSA-M"
5.78444671848438,"CSA-M"
6.71394715927788,"CSA-M"
5.90181549291466,"CSA-M"
5.76649155049933,"CSA-M"
7.46769188990371,"CSA-M"
6.38421113862091,"CSA-M"
6.807654296343,"CSA-M"
7.69746477527785,"CSA-M"
6.48827425538479,"CSA-M"
6.84715317362841,"CSA-M"
6.34151099304647,"CSA-M"
6.58676891570797,"CSA-M"
6.13119937432982,"CSA-M"
6.33618819445763,"CSA-M"
6.20917881657843,"CSA-M"
6.66039749844494,"CSA-M"
7.16458976881735,"CSA-M"
7.24962914263903,"CSA-M"
7.22489582324113,"CSA-M"
5.92844279463308,"CSA-M"
6.37418532386498,"CSA-M"
8.5339573083819,"CSA-Q"
8.14310265471941,"CSA-Q"
7.76877922137071,"CSA-Q"
7.83834216722241,"CSA-Q"
8.04629876482928,"CSA-Q"
7.1250989492397,"CSA-Q"
6.63458982700968,"CSA-Q"
9.15119810407718,"CSA-Q"
7.86674981949066,"CSA-Q"
7.61233687831794,"CSA-Q"
7.2871965281183,"CSA-Q"
9.20741436700823,"CSA-Q"
7.07170703059948,"CSA-Q"
7.7972593894601,"CSA-Q"
8.54721960211751,"CSA-Q"
8.13057778462007,"CSA-Q"
8.24844359946769,"CSA-Q"
8.15648698615898,"CSA-Q"
8.08601053157997,"CSA-Q"
7.5503450883032,"CSA-Q"
9.81694386633033,"CSA-Q"
8.19213799941435,"CSA-Q"
8.12620575870018,"CSA-Q"
8.13316426434616,"CSA-Q"
7.57296261725766,"CSA-Q"
9.0152140124795,"CSA-Q"
7.97062829529123,"CSA-Q"
8.36359778136564,"CSA-Q"
6.79377115097174,"CSA-Q"
8.08423368162127,"CSA-Q"
5.92643861901848,"ITE-NUC"
6.56664944501386,"ITE-NUC"
5.47658063138095,"ITE-NUC"
5.75534835365682,"ITE-NUC"
5.8027184714666,"ITE-NUC"
4.92405715864573,"ITE-NUC"
5.01518270391036,"ITE-NUC"
6.28168301386899,"ITE-NUC"
6.23345745170674,"ITE-NUC"
5.51477200787001,"ITE-NUC"
5.04501672408763,"ITE-NUC"
5.74931917369517,"ITE-NUC"
5.51900763833123,"ITE-NUC"
5.64733770655308,"ITE-NUC"
5.87465358027687,"ITE-NUC"
5.67185974677271,"ITE-NUC"
6.14403479274567,"ITE-NUC"
6.20620101874278,"ITE-NUC"
5.9623600565866,"ITE-NUC"
5.80608336777616,"ITE-NUC"
5.4434157383845,"ITE-NUC"
5.32594493677948,"ITE-NUC"
6.1883459324583,"ITE-NUC"
6.36579964116928,"ITE-NUC"
5.07578143618536,"ITE-NUC"
6.09071957325557,"ITE-NUC"
5.81347125342463,"ITE-NUC"
5.33339945518372,"ITE-NUC"
5.44174219038113,"ITE-NUC"
5.63601594964332,"ITE-NUC"
10.629235391956,"CSA-B"
10.1288749013185,"CSA-B"
10.7114476873913,"CSA-B"
11.2021254263874,"CSA-B"
10.0148753231537,"CSA-B"
9.01286402330293,"CSA-B"
9.46659916787247,"CSA-B"
10.0019528449451,"CSA-B"
11.3803894716624,"CSA-B"
9.85740962031111,"CSA-B"
10.5142808898576,"CSA-B"
9.85781891132627,"CSA-B"
9.63173179533362,"CSA-B"
10.9689411093774,"CSA-B"
9.99599108097505,"CSA-B"
10.9834219805687,"CSA-B"
9.9505245875803,"CSA-B"
10.6190968044923,"CSA-B"
9.72160723792305,"CSA-B"
11.0783962050467,"CSA-B"
10.1331875835882,"CSA-B"
9.87973095854407,"CSA-B"
10.8026665760226,"CSA-B"
9.42061174019355,"CSA-B"
9.55606238611993,"CSA-B"
10.3956202395112,"CSA-B"
9.40943935589601,"CSA-B"
9.35315667482507,"CSA-B"
10.3401679719361,"CSA-B"
10.3997940692205,"CSA-B"
