"X1","X2","X3","X1.1","X2.1","X3.1","X1.2","X2.2","X3.2","X1.3","X2.3","X3.3"
0.9179,21.9848885807278,0,0.9207,22.1241559714288,0,0.7594,17.6883958845951,0,0.9877,29.2003961649786,0
0.9415,22.9907704974477,0,0.8991,21.1244188392974,0,0.7151,16.9090538172237,0,0.9928,30.7554991646885,0
0.8944,21.247454459056,0,0.869,20.2218250171426,0,0.8053,18.7258070884137,0,0.9944,30.9577859714281,0
0.9823,26.3112947955438,0,0.8832,20.857253425246,0,0.7301,17.0092078578438,0,0.9926,31.1288002253946,0
0.9708,25.1481978742128,0,0.8937,21.1349649270666,0,0.7711,18.138405193645,0,0.9956,32.5999248101432,0
0.9548,23.7271267752022,0,0.8535,19.795654030787,0,0.7572,17.5318848747066,0,0.9827,27.9513167970243,0
0.9256,22.1946250257104,0,0.8867,20.7749780395308,0,0.7975,18.4518591096177,0,0.9957,32.1203822446861,0
0.8689,20.4336553007338,0,0.8882,20.9421533169564,0,0.7447,17.4869033754973,0,0.9954,31.1971419744897,0
0.9825,25.7040911727987,0,0.8867,20.823987730436,0,0.7735,17.9072607613411,0,0.9945,31.4066971452817,0
0.8933,21.3535160205243,0,0.8527,19.8965395574825,0,0.7618,17.8746305604056,0,0.9961,32.8168918514018,0
0.9697,24.5020514223582,0,0.9171,21.844812427524,0,0.8019,18.7204909748727,0,0.9966,32.37012233894,0
0.9774,25.5055729199265,0,0.8817,20.6296736820393,0,0.7991,18.586495579425,0,0.9947,31.6857197914568,0
0.9183,22.0648777427519,0,0.8371,19.7909058388872,0,0.7183,17.0997733915524,0,0.9972,33.4017189615892,0
0.9225,21.9093119611602,0,0.8841,20.5244141876648,0,0.7339,16.9253691355046,0,0.9972,32.5748462192261,0
0.8949,21.2876177071924,0,0.8788,20.6034811388907,0,0.722,16.8461212823604,0,0.9933,30.6937606793623,0
0.9379,22.8872046355453,0,0.9371,22.8009807065267,0,0.6891,16.4309241582999,0,0.9972,32.2727327073891,0
0.9543,23.5091276222338,0,0.9537,23.3789741222211,0,0.7994,18.6041680314986,0,0.9967,33.463580354862,1
0.9424,23.1817500534355,0,0.8769,20.5318356990661,0,0.7152,16.4714063471721,0,0.9969,32.4957530351817,0
0.8754,20.783153767726,0,0.9343,22.4490254862236,0,0.6889,16.3725128688775,0,0.9914,30.3914463627392,0
0.9182,22.0044612268985,0,0.9125,21.4465669577325,0,0.7379,17.2604885009497,0,0.9921,30.255605281215,0
0.9129,21.6192224251194,0,0.8902,20.7648986730763,0,0.6982,16.4381852219972,0,0.9938,31.4806120395435,0
0.8432,19.9347177891328,0,0.866,20.1670768880122,0,0.8051,18.7511792075548,0,0.9901,30.6572761977155,0
0.8875,21.0187690271116,0,0.8816,20.5866801947064,0,0.7852,18.2721059612225,0,0.9935,30.2357129087325,0
