"Coverage","group"
0.9902,"CSA-huber"
0.9934,"CSA-huber"
0.9958,"CSA-huber"
0.9974,"CSA-huber"
0.9944,"CSA-huber"
0.9738,"CSA-huber"
0.9952,"CSA-huber"
0.9728,"CSA-huber"
0.9928,"CSA-huber"
0.9922,"CSA-huber"
0.996,"CSA-huber"
0.9914,"CSA-huber"
0.9862,"CSA-huber"
0.9982,"CSA-huber"
0.9852,"CSA-huber"
0.9904,"CSA-huber"
0.963,"CSA-huber"
0.9958,"CSA-huber"
0.982,"CSA-huber"
0.9848,"CSA-huber"
0.983,"CSA-huber"
0.9884,"CSA-huber"
0.9918,"CSA-huber"
0.9964,"CSA-huber"
0.9748,"CSA-huber"
0.9832,"CSA-huber"
0.992,"CSA-huber"
0.9906,"CSA-huber"
0.9832,"CSA-huber"
0.998,"CSA-huber"
0.9234,"CSA-M"
0.9058,"CSA-M"
0.9502,"CSA-M"
0.923,"CSA-M"
0.9146,"CSA-M"
0.9286,"CSA-M"
0.96,"CSA-M"
0.9556,"CSA-M"
0.8964,"CSA-M"
0.8466,"CSA-M"
0.9088,"CSA-M"
0.9138,"CSA-M"
0.8998,"CSA-M"
0.9446,"CSA-M"
0.8692,"CSA-M"
0.929,"CSA-M"
0.944,"CSA-M"
0.9106,"CSA-M"
0.8844,"CSA-M"
0.9152,"CSA-M"
0.943,"CSA-M"
0.874,"CSA-M"
0.9236,"CSA-M"
0.931,"CSA-M"
0.941,"CSA-M"
0.9604,"CSA-M"
0.8972,"CSA-M"
0.97,"CSA-M"
0.9314,"CSA-M"
0.898,"CSA-M"
0.904,"CSA-Q"
0.9224,"CSA-Q"
0.9464,"CSA-Q"
0.9364,"CSA-Q"
0.9132,"CSA-Q"
0.9486,"CSA-Q"
0.959,"CSA-Q"
0.9532,"CSA-Q"
0.9358,"CSA-Q"
0.9152,"CSA-Q"
0.9308,"CSA-Q"
0.892,"CSA-Q"
0.937,"CSA-Q"
0.9628,"CSA-Q"
0.9034,"CSA-Q"
0.9394,"CSA-Q"
0.8938,"CSA-Q"
0.8962,"CSA-Q"
0.9562,"CSA-Q"
0.8874,"CSA-Q"
0.8974,"CSA-Q"
0.8918,"CSA-Q"
0.923,"CSA-Q"
0.9202,"CSA-Q"
0.9014,"CSA-Q"
0.931,"CSA-Q"
0.9392,"CSA-Q"
0.9312,"CSA-Q"
0.9248,"CSA-Q"
0.9148,"CSA-Q"
0.7158,"ITE-NUC"
0.7538,"ITE-NUC"
0.7208,"ITE-NUC"
0.714,"ITE-NUC"
0.6962,"ITE-NUC"
0.772,"ITE-NUC"
0.797,"ITE-NUC"
0.7574,"ITE-NUC"
0.665,"ITE-NUC"
0.7026,"ITE-NUC"
0.6796,"ITE-NUC"
0.7244,"ITE-NUC"
0.7128,"ITE-NUC"
0.7402,"ITE-NUC"
0.679,"ITE-NUC"
0.7162,"ITE-NUC"
0.7564,"ITE-NUC"
0.7716,"ITE-NUC"
0.7974,"ITE-NUC"
0.7298,"ITE-NUC"
0.7436,"ITE-NUC"
0.7108,"ITE-NUC"
0.7516,"ITE-NUC"
0.7132,"ITE-NUC"
0.7148,"ITE-NUC"
0.7312,"ITE-NUC"
0.7746,"ITE-NUC"
0.7188,"ITE-NUC"
0.7426,"ITE-NUC"
0.745,"ITE-NUC"
0.9938,"CSA-B"
0.9902,"CSA-B"
0.9884,"CSA-B"
0.9956,"CSA-B"
0.983,"CSA-B"
0.9968,"CSA-B"
0.9912,"CSA-B"
0.992,"CSA-B"
0.9906,"CSA-B"
0.9878,"CSA-B"
0.9914,"CSA-B"
0.9874,"CSA-B"
0.9944,"CSA-B"
0.9954,"CSA-B"
0.9874,"CSA-B"
0.994,"CSA-B"
0.9884,"CSA-B"
0.9944,"CSA-B"
0.993,"CSA-B"
0.9894,"CSA-B"
0.9924,"CSA-B"
0.9938,"CSA-B"
0.9948,"CSA-B"
0.9916,"CSA-B"
0.9926,"CSA-B"
0.9948,"CSA-B"
0.9874,"CSA-B"
0.9928,"CSA-B"
0.9896,"CSA-B"
0.9962,"CSA-B"
